-1	Parquet Floor Layer's Helper
-1	Quantitative Researcher
-1	Automatic Packer Operator
-1	Gas Pit Worker
-1	Library Monitor
5955	Sound Equipment Mechanic
1869	Edge Glue Machine Tender
-1	Water Transportation Cook
-1	Office Copy Selector
966	Warper Creeler
2380	Hand Spring Former
8756	Hotel Front Desk Clerk
1139	TOMAHAWK Weapon System (Surface) Operator
-1	Airport Skilled Maintenance Supervisor
7778	Regulatory Coordinator
6169	School Coordinator
3968	Metal Annealer
7333	Creative Music Therapist
-1	Roll Over Press Operator
-1	UX Research Assistant (User Experience Research Assistant)
-1	Vessel Engineer
6482	Clean Out Driller Helper
4988	Wet Sander
6895	Business and Employment Specialist
222	Knot Borer
4696	Broker Assistant
5602	Railroad Signal Maintainer
-1	Maintenance Specialist
3083	Estate Trustee
2719	Preforms Laminator
4303	Straddle Truck Operator
-1	Clean in Places Operator (CIP Operator)
7120	Interlibrary Loan Specialist
-1	Dish Machine Operator (DMO)
3340	Plasma Operator
-1	Backup Sawyer
-1	Pipe Welder
7888	Traffic Sergeant
-1	Historical Society Window Dresser
4656	Clinical Cytogeneticist
-1	Sole Filler
-1	Production Foreman
7222	Compliance Auditor
9557	E-Commerce Product Manager
1398	Red Team Member
-1	Shipyard Painting Supervisor
-1	Bindery Machine Tender
-1	Bank Accountant
5151	Line Dancer
-1	Fryer Operator
-1	Organ Assembler
4346	Chief Technical Officer (CTO)
1825	Navy Material Inspector
5022	Financial Crimes Investigator
6352	Urgent Care PA (Urgent Care Physician Assistant)
-1	Buffer
-1	Veneer Slicing Machine Operator
-1	Animator
280	Damper Fitter
-1	Factorer
5962	Boat Joiner Helper
5761	AV Specialist (Audiovisual Specialist)
-1	Dispatch Manager
853	Prop Worker
9222	Power Lineman
-1	Collet Driller
7924	Police Inspector
6823	Certified Surgical Technician
4638	Emergency Department Technician
4280	Nailer Operator
4684	Neuroradiologist
-1	Labor Crew Supervisor
5660	Outside Upholsterer
7636	Community Health Educator
-1	Secondary School Principal
-1	Dog Raiser
3258	Plastic Battery Assembler
3562	Lace Roller
-1	Language Assistant
1436	Take Out Waiter
